,Training datasets,
Protein_ID,Cysteine_ positions,Pos & Neg samples
sp|Q9Z0E0|NCDN_MOUSE,3,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,4,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,22,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,98,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,113,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,115,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,158,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,182,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,210,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,241,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,257,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,292,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,315,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,337,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,348,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,351,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,469,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,491,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,521,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,522,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,541,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,647,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,701,Non-SNO
sp|Q9Z0E0|NCDN_MOUSE,725,Non-SNO
sp|P16546|SPTN1_MOUSE,158,Non-SNO
sp|P16546|SPTN1_MOUSE,315,Non-SNO
sp|P16546|SPTN1_MOUSE,466,Non-SNO
sp|P16546|SPTN1_MOUSE,956,Non-SNO
sp|P16546|SPTN1_MOUSE,1091,Non-SNO
sp|P16546|SPTN1_MOUSE,1314,Non-SNO
sp|P16546|SPTN1_MOUSE,1444,Non-SNO
sp|P16546|SPTN1_MOUSE,1454,Non-SNO
sp|P16546|SPTN1_MOUSE,1930,Non-SNO
sp|P16546|SPTN1_MOUSE,2120,Non-SNO
sp|P16546|SPTN1_MOUSE,2233,Non-SNO
sp|P16546|SPTN1_MOUSE,2351,Non-SNO
sp|P16546|SPTN1_MOUSE,2441,Non-SNO
sp|O35831|CDK17_RAT,127,Non-SNO
sp|O35831|CDK17_RAT,281,Non-SNO
sp|O35831|CDK17_RAT,304,Non-SNO
sp|O35831|CDK17_RAT,377,Non-SNO
sp|O35831|CDK17_RAT,521,Non-SNO
sp|P49448|DHE4_HUMAN,146,Non-SNO
sp|P49448|DHE4_HUMAN,327,Non-SNO
sp|P49448|DHE4_HUMAN,376,Non-SNO
sp|Q6IRU2|TPM4_MOUSE,247,Non-SNO
sp|P01027|CO3_MOUSE,559,Non-SNO
sp|P01027|CO3_MOUSE,626,Non-SNO
sp|P01027|CO3_MOUSE,661,Non-SNO
sp|P01027|CO3_MOUSE,693,Non-SNO
sp|P01027|CO3_MOUSE,694,Non-SNO
sp|P01027|CO3_MOUSE,707,Non-SNO
sp|P01027|CO3_MOUSE,720,Non-SNO
sp|P01027|CO3_MOUSE,727,Non-SNO
sp|P01027|CO3_MOUSE,728,Non-SNO
sp|P01027|CO3_MOUSE,816,Non-SNO
sp|P01027|CO3_MOUSE,1010,Non-SNO
sp|P01027|CO3_MOUSE,1101,Non-SNO
sp|P01027|CO3_MOUSE,1158,Non-SNO
sp|P01027|CO3_MOUSE,1358,Non-SNO
sp|P01027|CO3_MOUSE,1389,Non-SNO
sp|P01027|CO3_MOUSE,1458,Non-SNO
sp|P01027|CO3_MOUSE,1489,Non-SNO
sp|P01027|CO3_MOUSE,1506,Non-SNO
sp|P01027|CO3_MOUSE,1511,Non-SNO
sp|P01027|CO3_MOUSE,1513,Non-SNO
sp|P01027|CO3_MOUSE,1518,Non-SNO
sp|P01027|CO3_MOUSE,1537,Non-SNO
sp|P01027|CO3_MOUSE,1590,Non-SNO
sp|P01027|CO3_MOUSE,1637,Non-SNO
sp|P01027|CO3_MOUSE,1646,Non-SNO
sp|P01027|CO3_MOUSE,1661,Non-SNO
sp|Q6IRU5|CLCB_MOUSE,209,Non-SNO
sp|Q8QZT1|THIL_MOUSE,25,Non-SNO
sp|Q8QZT1|THIL_MOUSE,123,Non-SNO
sp|P61514|RL37A_MOUSE,39,Non-SNO
sp|P61514|RL37A_MOUSE,57,Non-SNO
sp|P61514|RL37A_MOUSE,60,Non-SNO
sp|Q8VCW8|ACSF2_MOUSE,14,Non-SNO
sp|Q8VCW8|ACSF2_MOUSE,49,Non-SNO
sp|Q8VCW8|ACSF2_MOUSE,77,Non-SNO
sp|Q8VCW8|ACSF2_MOUSE,172,Non-SNO
sp|Q8VCW8|ACSF2_MOUSE,194,Non-SNO
sp|Q8VCW8|ACSF2_MOUSE,254,Non-SNO
sp|Q8VCW8|ACSF2_MOUSE,312,Non-SNO
sp|Q8VCW8|ACSF2_MOUSE,553,Non-SNO
sp|Q8VCW8|ACSF2_MOUSE,555,Non-SNO
sp|Q8VCW8|ACSF2_MOUSE,573,Non-SNO
sp|Q9D0K2|SCOT1_MOUSE,28,Non-SNO
sp|Q9D0K2|SCOT1_MOUSE,30,Non-SNO
sp|Q9D0K2|SCOT1_MOUSE,67,Non-SNO
sp|Q9D0K2|SCOT1_MOUSE,235,Non-SNO
sp|Q9D0K2|SCOT1_MOUSE,465,Non-SNO
sp|Q7TPR4|ACTN1_MOUSE,41,Non-SNO
sp|Q7TPR4|ACTN1_MOUSE,180,Non-SNO
sp|Q7TPR4|ACTN1_MOUSE,263,Non-SNO
sp|Q7TPR4|ACTN1_MOUSE,370,Non-SNO
sp|Q7TPR4|ACTN1_MOUSE,476,Non-SNO
sp|Q7TPR4|ACTN1_MOUSE,480,Non-SNO
sp|Q7TPR4|ACTN1_MOUSE,690,Non-SNO
sp|Q7TPR4|ACTN1_MOUSE,774,Non-SNO
sp|Q7TPR4|ACTN1_MOUSE,860,Non-SNO
sp|P03206|BZLF1_EBVB9,46,Non-SNO
sp|P03206|BZLF1_EBVB9,132,Non-SNO
sp|P03206|BZLF1_EBVB9,171,Non-SNO
sp|P03206|BZLF1_EBVB9,222,Non-SNO
sp|P49442|INPP_MOUSE,10,Non-SNO
sp|P49442|INPP_MOUSE,22,Non-SNO
sp|P49442|INPP_MOUSE,181,Non-SNO
sp|P49442|INPP_MOUSE,219,Non-SNO
sp|P49442|INPP_MOUSE,293,Non-SNO
sp|P49442|INPP_MOUSE,315,Non-SNO
sp|P49442|INPP_MOUSE,334,Non-SNO
sp|Q62261|SPTB2_MOUSE,73,Non-SNO
sp|Q62261|SPTB2_MOUSE,112,Non-SNO
sp|Q62261|SPTB2_MOUSE,183,Non-SNO
sp|Q62261|SPTB2_MOUSE,604,Non-SNO
sp|Q62261|SPTB2_MOUSE,619,Non-SNO
sp|Q62261|SPTB2_MOUSE,624,Non-SNO
sp|Q62261|SPTB2_MOUSE,831,Non-SNO
sp|Q62261|SPTB2_MOUSE,861,Non-SNO
sp|Q62261|SPTB2_MOUSE,964,Non-SNO
sp|Q62261|SPTB2_MOUSE,1284,Non-SNO
sp|Q62261|SPTB2_MOUSE,1900,Non-SNO
sp|Q62261|SPTB2_MOUSE,1970,Non-SNO
sp|Q62261|SPTB2_MOUSE,2226,Non-SNO
sp|Q62261|SPTB2_MOUSE,2261,Non-SNO
sp|Q64442|DHSO_MOUSE,45,Non-SNO
sp|Q64442|DHSO_MOUSE,106,Non-SNO
sp|Q64442|DHSO_MOUSE,120,Non-SNO
sp|Q64442|DHSO_MOUSE,130,Non-SNO
sp|Q64442|DHSO_MOUSE,140,Non-SNO
sp|Q64442|DHSO_MOUSE,165,Non-SNO
sp|Q64442|DHSO_MOUSE,250,Non-SNO
sp|Q64442|DHSO_MOUSE,301,Non-SNO
sp|A8K7I4|CLCA1_HUMAN,125,Non-SNO
sp|A8K7I4|CLCA1_HUMAN,200,Non-SNO
sp|A8K7I4|CLCA1_HUMAN,205,Non-SNO
sp|A8K7I4|CLCA1_HUMAN,210,Non-SNO
sp|A8K7I4|CLCA1_HUMAN,223,Non-SNO
sp|A8K7I4|CLCA1_HUMAN,250,Non-SNO
sp|A8K7I4|CLCA1_HUMAN,267,Non-SNO
sp|A8K7I4|CLCA1_HUMAN,386,Non-SNO
sp|A8K7I4|CLCA1_HUMAN,421,Non-SNO
sp|A8K7I4|CLCA1_HUMAN,727,Non-SNO
sp|A8K7I4|CLCA1_HUMAN,884,Non-SNO
sp|P13489|RINI_HUMAN,12,Non-SNO
sp|P13489|RINI_HUMAN,30,Non-SNO
sp|P13489|RINI_HUMAN,38,Non-SNO
sp|P13489|RINI_HUMAN,45,Non-SNO
sp|P13489|RINI_HUMAN,95,Non-SNO
sp|P13489|RINI_HUMAN,96,Non-SNO
sp|P13489|RINI_HUMAN,102,Non-SNO
sp|P13489|RINI_HUMAN,134,Non-SNO
sp|P13489|RINI_HUMAN,142,Non-SNO
sp|P13489|RINI_HUMAN,152,Non-SNO
sp|P13489|RINI_HUMAN,159,Non-SNO
sp|P13489|RINI_HUMAN,191,Non-SNO
sp|P13489|RINI_HUMAN,199,Non-SNO
sp|P13489|RINI_HUMAN,209,Non-SNO
sp|P13489|RINI_HUMAN,216,Non-SNO
sp|P13489|RINI_HUMAN,220,Non-SNO
sp|P13489|RINI_HUMAN,266,Non-SNO
sp|P13489|RINI_HUMAN,273,Non-SNO
sp|P13489|RINI_HUMAN,277,Non-SNO
sp|P13489|RINI_HUMAN,305,Non-SNO
sp|P13489|RINI_HUMAN,313,Non-SNO
sp|P13489|RINI_HUMAN,323,Non-SNO
sp|P13489|RINI_HUMAN,329,Non-SNO
sp|P13489|RINI_HUMAN,330,Non-SNO
sp|P13489|RINI_HUMAN,362,Non-SNO
sp|P13489|RINI_HUMAN,380,Non-SNO
sp|P13489|RINI_HUMAN,387,Non-SNO
sp|P13489|RINI_HUMAN,409,Non-SNO
sp|P13489|RINI_HUMAN,427,Non-SNO
sp|P35282|RAB21_MOUSE,38,Non-SNO
sp|P35282|RAB21_MOUSE,124,Non-SNO
sp|P35282|RAB21_MOUSE,126,Non-SNO
sp|P35282|RAB21_MOUSE,175,Non-SNO
sp|P35282|RAB21_MOUSE,218,Non-SNO
sp|P35282|RAB21_MOUSE,219,Non-SNO
sp|P17844|DDX5_HUMAN,89,Non-SNO
sp|P17844|DDX5_HUMAN,170,Non-SNO
sp|P17844|DDX5_HUMAN,191,Non-SNO
sp|P17844|DDX5_HUMAN,194,Non-SNO
sp|P17844|DDX5_HUMAN,200,Non-SNO
sp|P17844|DDX5_HUMAN,221,Non-SNO
sp|P17844|DDX5_HUMAN,320,Non-SNO
sp|P17844|DDX5_HUMAN,354,Non-SNO
sp|P13010|XRCC5_HUMAN,13,Non-SNO
sp|P13010|XRCC5_HUMAN,157,Non-SNO
sp|P13010|XRCC5_HUMAN,418,Non-SNO
sp|P13010|XRCC5_HUMAN,638,Non-SNO
sp|P35285|RB22A_MOUSE,120,Non-SNO
sp|P35285|RB22A_MOUSE,193,Non-SNO
sp|P35285|RB22A_MOUSE,194,Non-SNO
sp|Q07009|CAN2_RAT,39,Non-SNO
sp|Q07009|CAN2_RAT,98,Non-SNO
sp|Q07009|CAN2_RAT,105,Non-SNO
sp|Q07009|CAN2_RAT,191,Non-SNO
sp|Q07009|CAN2_RAT,240,Non-SNO
sp|Q07009|CAN2_RAT,341,Non-SNO
sp|Q07009|CAN2_RAT,350,Non-SNO
sp|Q07009|CAN2_RAT,374,Non-SNO
sp|Q07009|CAN2_RAT,405,Non-SNO
sp|Q07009|CAN2_RAT,498,Non-SNO
sp|Q07009|CAN2_RAT,577,Non-SNO
sp|Q07009|CAN2_RAT,665,Non-SNO
sp|O14920|IKKB_HUMAN,12,Non-SNO
sp|O14920|IKKB_HUMAN,46,Non-SNO
sp|O14920|IKKB_HUMAN,59,Non-SNO
sp|O14920|IKKB_HUMAN,99,Non-SNO
sp|O14920|IKKB_HUMAN,114,Non-SNO
sp|O14920|IKKB_HUMAN,115,Non-SNO
sp|O14920|IKKB_HUMAN,215,Non-SNO
sp|O14920|IKKB_HUMAN,299,Non-SNO
sp|O14920|IKKB_HUMAN,370,Non-SNO
sp|O14920|IKKB_HUMAN,412,Non-SNO
sp|O14920|IKKB_HUMAN,444,Non-SNO
sp|O14920|IKKB_HUMAN,464,Non-SNO
sp|O14920|IKKB_HUMAN,524,Non-SNO
sp|O14920|IKKB_HUMAN,618,Non-SNO
sp|O14920|IKKB_HUMAN,662,Non-SNO
sp|O14920|IKKB_HUMAN,716,Non-SNO
sp|O14920|IKKB_HUMAN,751,Non-SNO
sp|Q8QZS1|HIBCH_MOUSE,130,Non-SNO
sp|Q64459|CP3AB_MOUSE,64,Non-SNO
sp|Q64459|CP3AB_MOUSE,98,Non-SNO
sp|Q64459|CP3AB_MOUSE,239,Non-SNO
sp|Q64459|CP3AB_MOUSE,378,Non-SNO
sp|Q64459|CP3AB_MOUSE,443,Non-SNO
sp|Q8QZR5|ALAT1_MOUSE,89,Non-SNO
sp|Q8QZR5|ALAT1_MOUSE,115,Non-SNO
sp|Q8QZR5|ALAT1_MOUSE,226,Non-SNO
sp|Q8QZR5|ALAT1_MOUSE,232,Non-SNO
sp|Q8QZR5|ALAT1_MOUSE,233,Non-SNO
sp|Q8QZR5|ALAT1_MOUSE,320,Non-SNO
sp|Q8QZR5|ALAT1_MOUSE,349,Non-SNO
sp|Q8QZR5|ALAT1_MOUSE,405,Non-SNO
sp|Q8QZR5|ALAT1_MOUSE,440,Non-SNO
sp|Q8QZR5|ALAT1_MOUSE,442,Non-SNO
sp|Q8QZR5|ALAT1_MOUSE,450,Non-SNO
sp|Q9BQ04|RBM4B_HUMAN,89,Non-SNO
sp|Q9BQ04|RBM4B_HUMAN,107,Non-SNO
sp|Q9BQ04|RBM4B_HUMAN,162,Non-SNO
sp|Q9BQ04|RBM4B_HUMAN,165,Non-SNO
sp|Q9BQ04|RBM4B_HUMAN,175,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,104,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,112,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,141,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,184,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,217,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,219,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,249,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,365,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,378,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,571,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,591,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,633,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,659,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,660,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,703,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,787,Non-SNO
sp|Q3TXS7|PSMD1_MOUSE,806,Non-SNO
sp|Q8CI94|PYGB_MOUSE,109,Non-SNO
sp|Q8CI94|PYGB_MOUSE,319,Non-SNO
sp|Q8CI94|PYGB_MOUSE,326,Non-SNO
sp|Q8CI94|PYGB_MOUSE,373,Non-SNO
sp|Q8CI94|PYGB_MOUSE,446,Non-SNO
sp|Q8CI94|PYGB_MOUSE,496,Non-SNO
sp|Q8CI94|PYGB_MOUSE,581,Non-SNO
sp|Q8CI94|PYGB_MOUSE,784,Non-SNO
sp|Q9BU89|DOHH_HUMAN,61,Non-SNO
sp|Q9BU89|DOHH_HUMAN,122,Non-SNO
sp|Q9BU89|DOHH_HUMAN,232,Non-SNO
sp|Q9DAK9|PHP14_MOUSE,70,Non-SNO
sp|Q9DAK9|PHP14_MOUSE,72,Non-SNO
sp|P59215|GNAO_RAT,3,Non-SNO
sp|P59215|GNAO_RAT,108,Non-SNO
sp|P59215|GNAO_RAT,215,Non-SNO
sp|P59215|GNAO_RAT,225,Non-SNO
sp|P59215|GNAO_RAT,255,Non-SNO
sp|P59215|GNAO_RAT,287,Non-SNO
sp|P59215|GNAO_RAT,321,Non-SNO
sp|P59215|GNAO_RAT,325,Non-SNO
sp|P59215|GNAO_RAT,351,Non-SNO
sp|Q09666|AHNK_HUMAN,108,Non-SNO
sp|Q09666|AHNK_HUMAN,567,Non-SNO
sp|Q09666|AHNK_HUMAN,1967,Non-SNO
sp|Q09666|AHNK_HUMAN,2162,Non-SNO
sp|Q09666|AHNK_HUMAN,5382,Non-SNO
sp|Q09666|AHNK_HUMAN,5502,Non-SNO
sp|Q62277|SYPH_MOUSE,44,Non-SNO
sp|Q62277|SYPH_MOUSE,57,Non-SNO
sp|Q62277|SYPH_MOUSE,184,Non-SNO
sp|Q62277|SYPH_MOUSE,191,Non-SNO
sp|Q99536|VAT1_HUMAN,86,Non-SNO
sp|Q99536|VAT1_HUMAN,209,Non-SNO
sp|Q99536|VAT1_HUMAN,324,Non-SNO
sp|O35855|BCAT2_MOUSE,22,Non-SNO
sp|O35855|BCAT2_MOUSE,27,Non-SNO
sp|O35855|BCAT2_MOUSE,93,Non-SNO
sp|O35855|BCAT2_MOUSE,136,Non-SNO
sp|O35855|BCAT2_MOUSE,148,Non-SNO
sp|O35855|BCAT2_MOUSE,196,Non-SNO
sp|O35855|BCAT2_MOUSE,250,Non-SNO
sp|O35855|BCAT2_MOUSE,343,Non-SNO
sp|O35855|BCAT2_MOUSE,346,Non-SNO
sp|O09110|MP2K3_MOUSE,120,Non-SNO
sp|O09110|MP2K3_MOUSE,139,Non-SNO
sp|O09110|MP2K3_MOUSE,207,Non-SNO
sp|O09110|MP2K3_MOUSE,227,Non-SNO
sp|O09110|MP2K3_MOUSE,305,Non-SNO
sp|Q3TCJ1|ABRX2_MOUSE,14,Non-SNO
sp|Q3TCJ1|ABRX2_MOUSE,62,Non-SNO
sp|Q3TCJ1|ABRX2_MOUSE,224,Non-SNO
sp|P60203|MYPR_RAT,6,Non-SNO
sp|P60203|MYPR_RAT,7,Non-SNO
sp|P60203|MYPR_RAT,10,Non-SNO
sp|P60203|MYPR_RAT,25,Non-SNO
sp|P60203|MYPR_RAT,33,Non-SNO
sp|P60203|MYPR_RAT,35,Non-SNO
sp|P60203|MYPR_RAT,139,Non-SNO
sp|P60203|MYPR_RAT,141,Non-SNO
sp|P60203|MYPR_RAT,169,Non-SNO
sp|P60203|MYPR_RAT,184,Non-SNO
sp|P60202|MYPR_MOUSE,6,Non-SNO
sp|P60202|MYPR_MOUSE,7,Non-SNO
sp|P60202|MYPR_MOUSE,10,Non-SNO
sp|P60202|MYPR_MOUSE,25,Non-SNO
sp|P60202|MYPR_MOUSE,33,Non-SNO
sp|P60202|MYPR_MOUSE,35,Non-SNO
sp|P60202|MYPR_MOUSE,139,Non-SNO
sp|P60202|MYPR_MOUSE,141,Non-SNO
sp|P60202|MYPR_MOUSE,169,Non-SNO
sp|P60202|MYPR_MOUSE,184,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,2,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,6,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,182,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,187,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,197,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,350,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,366,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,396,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,500,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,518,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,536,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,629,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,741,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,754,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,756,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,791,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,835,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,838,Non-SNO
sp|Q6JQN1|ACD10_HUMAN,922,Non-SNO
sp|O88342|WDR1_MOUSE,39,Non-SNO
sp|O88342|WDR1_MOUSE,194,Non-SNO
sp|O88342|WDR1_MOUSE,285,Non-SNO
sp|O88342|WDR1_MOUSE,412,Non-SNO
sp|O88342|WDR1_MOUSE,425,Non-SNO
sp|O88342|WDR1_MOUSE,438,Non-SNO
sp|O88342|WDR1_MOUSE,507,Non-SNO
sp|O88342|WDR1_MOUSE,537,Non-SNO
sp|P49429|HPPD_MOUSE,37,Non-SNO
sp|P49429|HPPD_MOUSE,72,Non-SNO
sp|P49429|HPPD_MOUSE,176,Non-SNO
sp|Q9D0I9|SYRC_MOUSE,8,Non-SNO
sp|Q9D0I9|SYRC_MOUSE,32,Non-SNO
sp|Q9D0I9|SYRC_MOUSE,34,Non-SNO
sp|Q9D0I9|SYRC_MOUSE,115,Non-SNO
sp|Q9D0I9|SYRC_MOUSE,293,Non-SNO
sp|Q9D0I9|SYRC_MOUSE,312,Non-SNO
sp|Q9D0I9|SYRC_MOUSE,577,Non-SNO
sp|Q9D0I9|SYRC_MOUSE,598,Non-SNO
sp|Q9D0I9|SYRC_MOUSE,615,Non-SNO
sp|Q9D0I9|SYRC_MOUSE,617,Non-SNO
tr|Q8K366|Q8K366_MOUSE,73,Non-SNO
tr|Q8K366|Q8K366_MOUSE,83,Non-SNO
tr|Q8K366|Q8K366_MOUSE,93,Non-SNO
tr|Q8K366|Q8K366_MOUSE,307,Non-SNO
tr|Q8K366|Q8K366_MOUSE,327,Non-SNO
tr|Q8K366|Q8K366_MOUSE,411,Non-SNO
tr|Q8K366|Q8K366_MOUSE,477,Non-SNO
tr|Q8K366|Q8K366_MOUSE,554,Non-SNO
tr|Q8K366|Q8K366_MOUSE,555,Non-SNO
tr|Q8K366|Q8K366_MOUSE,612,Non-SNO
tr|Q8K366|Q8K366_MOUSE,651,Non-SNO
tr|Q8K366|Q8K366_MOUSE,835,Non-SNO
sp|Q14204|DYHC1_HUMAN,220,Non-SNO
sp|Q14204|DYHC1_HUMAN,416,Non-SNO
sp|Q14204|DYHC1_HUMAN,792,Non-SNO
sp|Q14204|DYHC1_HUMAN,867,Non-SNO
sp|Q14204|DYHC1_HUMAN,978,Non-SNO
sp|Q14204|DYHC1_HUMAN,1059,Non-SNO
sp|Q14204|DYHC1_HUMAN,1297,Non-SNO
sp|Q14204|DYHC1_HUMAN,1484,Non-SNO
sp|Q14204|DYHC1_HUMAN,1888,Non-SNO
sp|Q14204|DYHC1_HUMAN,1932,Non-SNO
sp|Q14204|DYHC1_HUMAN,1949,Non-SNO
sp|Q14204|DYHC1_HUMAN,1956,Non-SNO
sp|Q14204|DYHC1_HUMAN,1977,Non-SNO
sp|Q14204|DYHC1_HUMAN,2076,Non-SNO
sp|Q14204|DYHC1_HUMAN,2142,Non-SNO
sp|Q14204|DYHC1_HUMAN,2186,Non-SNO
sp|Q14204|DYHC1_HUMAN,2359,Non-SNO
sp|Q14204|DYHC1_HUMAN,2454,Non-SNO
sp|Q14204|DYHC1_HUMAN,2466,Non-SNO
sp|Q14204|DYHC1_HUMAN,2594,Non-SNO
sp|Q14204|DYHC1_HUMAN,2639,Non-SNO
sp|Q14204|DYHC1_HUMAN,2663,Non-SNO
sp|Q14204|DYHC1_HUMAN,2712,Non-SNO
sp|Q14204|DYHC1_HUMAN,2985,Non-SNO
sp|Q14204|DYHC1_HUMAN,3033,Non-SNO
sp|Q14204|DYHC1_HUMAN,3089,Non-SNO
sp|Q14204|DYHC1_HUMAN,3147,Non-SNO
sp|Q14204|DYHC1_HUMAN,3325,Non-SNO
sp|Q14204|DYHC1_HUMAN,3389,Non-SNO
sp|Q14204|DYHC1_HUMAN,3507,Non-SNO
sp|Q14204|DYHC1_HUMAN,3573,Non-SNO
sp|Q14204|DYHC1_HUMAN,3693,Non-SNO
sp|Q14204|DYHC1_HUMAN,3712,Non-SNO
sp|Q14204|DYHC1_HUMAN,3808,Non-SNO
sp|Q14204|DYHC1_HUMAN,3940,Non-SNO
sp|Q14204|DYHC1_HUMAN,4044,Non-SNO
sp|Q14204|DYHC1_HUMAN,4121,Non-SNO
sp|Q14204|DYHC1_HUMAN,4170,Non-SNO
sp|Q14204|DYHC1_HUMAN,4216,Non-SNO
sp|Q14204|DYHC1_HUMAN,4286,Non-SNO
sp|Q14204|DYHC1_HUMAN,4438,Non-SNO
sp|Q14204|DYHC1_HUMAN,4510,Non-SNO
sp|Q14204|DYHC1_HUMAN,4540,Non-SNO
sp|Q14204|DYHC1_HUMAN,4556,Non-SNO
sp|Q14204|DYHC1_HUMAN,4570,Non-SNO
sp|Q14204|DYHC1_HUMAN,4644,Non-SNO
sp|Q1XH17|TRI72_MOUSE,14,Non-SNO
sp|Q1XH17|TRI72_MOUSE,17,Non-SNO
sp|Q1XH17|TRI72_MOUSE,29,Non-SNO
sp|Q1XH17|TRI72_MOUSE,34,Non-SNO
sp|Q1XH17|TRI72_MOUSE,37,Non-SNO
sp|Q1XH17|TRI72_MOUSE,53,Non-SNO
sp|Q1XH17|TRI72_MOUSE,55,Non-SNO
sp|Q1XH17|TRI72_MOUSE,56,Non-SNO
sp|Q1XH17|TRI72_MOUSE,86,Non-SNO
sp|Q1XH17|TRI72_MOUSE,97,Non-SNO
sp|Q1XH17|TRI72_MOUSE,105,Non-SNO
sp|Q1XH17|TRI72_MOUSE,108,Non-SNO
sp|Q1XH17|TRI72_MOUSE,144,Non-SNO
sp|Q9CY45|EFMT1_MOUSE,93,Non-SNO
sp|Q9CY45|EFMT1_MOUSE,149,Non-SNO
sp|Q9CY45|EFMT1_MOUSE,168,Non-SNO
sp|Q9CY45|EFMT1_MOUSE,186,Non-SNO
sp|Q9CY45|EFMT1_MOUSE,202,Non-SNO
sp|Q9CY45|EFMT1_MOUSE,212,Non-SNO
sp|P55264|ADK_MOUSE,139,Non-SNO
sp|P55264|ADK_MOUSE,142,Non-SNO
sp|P55264|ADK_MOUSE,335,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,125,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,128,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,145,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,150,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,153,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,181,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,184,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,188,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,217,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,220,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,230,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,233,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,238,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,241,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,276,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,288,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,291,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,296,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,299,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,447,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,461,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,754,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,786,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,805,Non-SNO
sp|Q9UPN9|TRI33_HUMAN,849,Non-SNO
